Coin,Strategy,Entry Time,Exit Time,Entry Price,Exit Price,Amount,Invested,Returned,Profit,Profit%
POND,TREND,03:27:09 PM,03:31:09 PM,0.0024,0.0025,10204.081633,25.00,25.00,-0.0020,-0.01%
WLD,TREND,03:21:09 PM,03:29:09 PM,0.3979,0.3950,62.829857,25.00,24.79,-0.2134,-0.85%
PHA,TREND,03:25:09 PM,03:27:09 PM,0.0512,0.0519,488.281250,25.00,25.59,0.5921,2.37%
FARM,TREND,03:09:09 PM,03:25:09 PM,6.6100,6.6200,3.782148,25.00,25.04,0.0378,0.15%
WLD,TREND,03:16:09 PM,03:19:09 PM,0.3936,0.3982,63.516260,25.00,25.39,0.3898,1.56%
PHA,TREND,03:09:09 PM,03:17:09 PM,0.0511,0.0510,489.236791,25.00,24.85,-0.1538,-0.62%
POND,TREND,03:09:09 PM,03:16:09 PM,0.0024,0.0025,10204.081633,25.00,25.31,0.3061,1.22%
PHA,TREND,03:04:09 PM,03:06:09 PM,0.0526,0.0516,475.285171,25.00,24.42,-0.5808,-2.32%
POND,TREND,03:04:09 PM,03:06:09 PM,0.0024,0.0024,10288.065844,25.00,25.20,0.2049,0.82%
FARM,TREND,03:03:09 PM,03:05:09 PM,6.5600,6.6900,3.810976,25.00,25.65,0.6493,2.60%
INJ,TREND,02:52:09 PM,03:03:09 PM,5.8380,5.9080,4.282288,25.00,25.26,0.2608,1.04%
IO,TREND,03:01:09 PM,03:02:09 PM,0.1837,0.1859,136.091453,25.00,25.36,0.3611,1.44%
POND,TREND,02:57:09 PM,03:01:09 PM,0.0024,0.0024,10245.901639,25.00,25.00,0.0000,0.00%
WLD,TREND,02:43:09 PM,03:00:09 PM,0.3923,0.3920,63.726740,25.00,24.85,-0.1529,-0.61%
ROSE,TREND,02:33:09 PM,02:58:09 PM,0.0100,0.0101,2487.562189,25.00,25.25,0.2488,1.00%
HMSTR,TREND,02:45:09 PM,02:55:09 PM,0.0002,0.0002,147579.693034,25.00,25.22,0.2214,0.89%
PHA,TREND,02:53:09 PM,02:55:09 PM,0.0534,0.0528,112.546816,6.01,6.68,0.6744,11.22%
RIF,TREND,01:42:09 PM,02:54:09 PM,0.0598,0.0592,418.060201,25.00,24.62,-0.3763,-1.51%
FARM,TREND,02:48:09 PM,02:51:09 PM,6.6200,6.6200,3.776435,25.00,25.04,0.0436,0.17%
POND,TREND,02:45:09 PM,02:47:09 PM,0.0025,0.0024,10121.457490,25.00,24.80,-0.2024,-0.81%
FARM,TREND,02:33:09 PM,02:41:09 PM,6.5100,6.5700,3.840246,25.00,25.35,0.3456,1.38%
HMSTR,TREND,02:30:09 PM,02:41:09 PM,0.0002,0.0002,148104.265403,25.00,25.31,0.3102,1.24%
POND,TREND,02:34:09 PM,02:36:09 PM,0.0024,0.0024,10288.065844,25.00,25.23,0.2330,0.93%
POND,TREND,02:27:09 PM,02:33:09 PM,0.0025,0.0024,2413.654618,6.01,6.60,0.5910,9.83%
FARM,TREND,02:24:09 PM,02:29:09 PM,6.5000,6.5500,3.846154,25.00,24.96,-0.0388,-0.16%
WLD,TREND,02:14:09 PM,02:27:09 PM,0.3989,0.4049,62.672349,25.00,25.44,0.4357,1.74%
IO,TREND,02:25:09 PM,02:26:09 PM,0.1803,0.1811,138.657793,25.00,24.93,-0.0693,-0.28%
POND,TREND,02:22:09 PM,02:26:09 PM,0.0026,0.0026,9727.626459,25.00,24.22,-0.7782,-3.11%
FARM,TREND,02:18:09 PM,02:21:09 PM,6.5000,6.5100,3.846154,25.00,24.99,-0.0060,-0.02%
POND,TREND,02:14:09 PM,02:19:09 PM,0.0026,0.0026,9727.626459,25.00,25.00,0.0000,0.00%
FARM,TREND,01:59:09 PM,02:11:09 PM,6.5600,6.5400,0.916159,6.01,7.09,1.0815,17.99%
POND,TREND,02:09:09 PM,02:11:09 PM,0.0025,0.0026,9842.519685,25.00,25.69,0.6945,2.78%
POND,TREND,01:56:09 PM,02:03:09 PM,0.0025,0.0026,9960.159363,25.00,25.40,0.4012,1.60%
PHA,TREND,01:50:09 PM,01:58:09 PM,0.0492,0.0487,508.130081,25.00,24.31,-0.6889,-2.76%
FARM,TREND,01:53:09 PM,01:57:09 PM,6.6000,7.0000,3.787879,25.00,25.30,0.3030,1.21%
HMSTR,TREND,01:50:09 PM,01:55:09 PM,0.0002,0.0002,146028.037383,25.00,25.26,0.2629,1.05%
POND,TREND,01:53:09 PM,01:55:09 PM,0.0025,0.0025,10121.457490,25.00,25.51,0.5107,2.04%
FARM,TREND,01:27:09 PM,01:51:09 PM,6.5400,6.7600,3.822630,25.00,25.84,0.8410,3.36%
POND,TREND,01:48:09 PM,01:51:09 PM,0.0024,0.0024,10245.901639,25.00,25.00,-0.0021,-0.01%
POND,TREND,01:42:09 PM,01:44:09 PM,0.0025,0.0025,10162.601626,25.00,25.10,0.1024,0.41%
WLD,TREND,01:33:09 PM,01:42:09 PM,0.3897,0.3941,64.151912,25.00,25.36,0.3636,1.45%
POND,TREND,01:38:09 PM,01:39:09 PM,0.0024,0.0025,10204.081633,25.00,25.30,0.3020,1.21%
POND,TREND,01:31:09 PM,01:35:09 PM,0.0025,0.0025,10080.645161,25.00,24.80,-0.2016,-0.81%
RIF,TREND,01:23:09 PM,01:30:09 PM,0.0599,0.0604,417.362270,25.00,25.21,0.2087,0.83%
PHA,TREND,01:28:09 PM,01:30:09 PM,0.0508,0.0507,492.125984,25.00,24.75,-0.2466,-0.99%
PHA,TREND,01:14:09 PM,01:23:09 PM,0.0506,0.0513,494.071146,25.00,25.61,0.6069,2.43%
POND,TREND,01:19:09 PM,01:21:09 PM,0.0025,0.0025,10040.160643,25.00,25.10,0.1004,0.40%
IO,TREND,12:40:09 PM,01:17:09 PM,0.1772,0.1786,141.083521,25.00,25.44,0.4363,1.75%
POND,TREND,01:14:09 PM,01:15:09 PM,0.0025,0.0025,10000.000000,25.00,25.30,0.3000,1.20%
WLD,TREND,12:55:09 PM,01:14:09 PM,0.3917,0.3974,63.824355,25.00,25.26,0.2563,1.03%
POND,TREND,01:06:09 PM,01:08:09 PM,0.0025,0.0024,10080.645161,25.00,24.79,-0.2060,-0.82%
FARM,TREND,12:52:09 PM,01:03:09 PM,6.5500,6.5200,3.816794,25.00,24.96,-0.0396,-0.16%
PHA,TREND,01:01:09 PM,01:03:09 PM,0.0499,0.0502,501.002004,25.00,25.00,-0.0021,-0.01%
POND,TREND,12:54:09 PM,01:01:09 PM,0.0025,0.0025,9920.634921,25.00,24.90,-0.0992,-0.40%
PHA,TREND,12:52:09 PM,12:54:09 PM,0.0504,0.0500,496.031746,25.00,24.84,-0.1584,-0.63%
INJ,TREND,12:31:09 PM,12:53:09 PM,5.6040,5.6700,4.461099,25.00,25.25,0.2454,0.98%
WLD,TREND,12:42:09 PM,12:53:09 PM,0.3841,0.3904,65.087217,25.00,25.38,0.3775,1.51%
PHA,TREND,12:50:09 PM,12:51:09 PM,0.0513,0.0509,487.329435,25.00,24.66,-0.3378,-1.35%
POND,TREND,12:43:09 PM,12:49:09 PM,0.0026,0.0026,9765.625000,25.00,25.30,0.2992,1.20%
PHA,TREND,12:43:09 PM,12:47:09 PM,0.0495,0.0510,505.050505,25.00,25.91,0.9137,3.65%
FET,HYPER,12:11:32 PM,12:41:09 PM,0.2472,0.2506,101.132686,25.00,25.22,0.2225,0.89%
PHA,TREND,12:34:09 PM,12:41:09 PM,0.0493,0.0501,507.099391,25.00,25.15,0.1521,0.61%
